id,city,lat,lng,country,population
1628,Nancy,48.6837,6.2,France,268976
1636,Sterlitamak,53.63,55.96,Russia,267231
1641,Lausanne,46.5304,6.65,Switzerland,265702
1642,Saint-Étienne,45.4304,4.38,France,265684
1643,Petrozavodsk,61.85,34.28,Russia,265025
1651,Graz,47.0778,15.41,Austria,263234
1673,Tampere,61.5,23.75,Finland,259279
1685,Dzerzhinsk,56.2504,43.46,Russia,256537
1691,Rivne,50.6166,26.2528,Ukraine,255106
1693,Freiburg,48.0004,7.8699,Germany,254889
1708,Messina,38.2005,15.55,Italy,252026
1720,Niš,43.3304,21.9,Serbia,250000
1723,Luzern,47.0504,8.28,Switzerland,250000
1726,Como,45.81,9.08,Italy,250000
1727,Caserta,41.06,14.3374,Italy,250000
1730,Kirovohrad,48.5041,32.2603,Ukraine,249454
1731,Melun,48.5333,2.6666,France,249432
1740,Miskolc,48.1004,20.78,Hungary,247757
1742,Plymouth,50.3854,-4.16,United Kingdom,247297
1745,Orsk,51.21,58.6273,Russia,246836
1749,Bratsk,56.157,101.615,Russia,246348
1754,Rzeszów,50.0705,22.0,Poland,245686
1758,Nizhenvartovsk,60.935,76.58,Russia,244937
1759,Ternopil,49.536,25.5821,Ukraine,244768
1760,Braunschweig,52.25,10.5,Germany,244715
1769,Angarsk,52.56,103.92,Russia,243158
1773,Le Havre,49.505,0.105,France,242124
1777,Novorossiysk,44.73,37.7699,Russia,241856
1780,Ivano-Frankivsk,48.9348,24.7094,Ukraine,241239
1788,Fürth,49.47,11.0,Germany,237844
1790,Århus,56.1572,10.2107,Denmark,237551
1799,Košice,48.7304,21.25,Slovakia,236563
1801,Tours,47.3804,0.6999,France,236096
1804,Luton,51.8804,-0.42,United Kingdom,235958
1806,Oviedo,43.3505,-5.83,Spain,235651
1807,Yakutsk,62.035,129.735,Russia,235600
1808,Lübeck,53.8704,10.67,Germany,235390
1826,Nizhnekamsk,55.6404,51.82,Russia,234297
1830,Clermont-Ferrand,45.78,3.08,France,233050
1832,Kremenchuk,49.0835,33.4296,Ukraine,232742
1834,Ploiești,44.9469,26.0365,Romania,232542
1842,Debrecen,47.5305,21.63,Hungary,231286
1843,Osnabrück,52.2804,8.05,Germany,231268
1846,Syktyvkar,61.66,50.82,Russia,230910
1852,Magdeburg,52.1304,11.62,Germany,229826
1854,Noginsk,55.8704,38.48,Russia,229731
1855,Noginsk,64.4833,91.2333,Russia,229731
1869,Starsy Oskol,51.3004,37.84,Russia,226977
1877,Groznyy,43.3187,45.6987,Russia,226100
1878,Kolpino,59.73,30.65,Russia,225801
1881,Novi Sad,45.2504,19.8499,Serbia,225457
1891,Vitoria,42.85,-2.67,Spain,224578
1893,Nicosia,35.1667,33.3666,Cyprus,224300
1910,Shakhty,47.7204,40.27,Russia,221312
1911,Blagoveshchensk,50.2666,127.5333,Russia,221296
1913,Babruysk,53.1266,29.1928,Belarus,220517
1921,Velikiy Novgorod,58.5,31.33,Russia,218717
1926,Potsdam,52.4004,13.07,Germany,218095
1930,Orléans,47.9004,1.9,France,217301
1936,Rybinsk,58.0503,38.82,Russia,216724
1937,Groningen,53.2204,6.58,Netherlands,216688
1940,Trieste,45.6504,13.8,Italy,216035
1941,Kielce,50.8904,20.66,Poland,215733
1942,Mulhouse,47.7504,7.35,France,215454
1943,Biysk,52.5341,85.18,Russia,215430
1948,Split,43.5204,16.47,Croatia,214741
1950,Oradea,47.05,21.92,Romania,213830
1951,Lutsk,50.7472,25.3334,Ukraine,213661
1953,Bergen,60.391,5.3245,Norway,213585
1954,Brăila,45.292,27.969,Romania,213569
1970,Rennes,48.1,-1.67,France,209375
1973,Santander,43.3805,-3.8,Spain,208763
1990,Salzburg,47.8105,13.04,Austria,206279
2000,Funchal,32.65,-16.88,Portugal,204767
2011,Pisa,43.7205,10.4,Italy,203336
2013,Erfurt,50.9701,11.03,Germany,203254
2016,Rostock,54.0704,12.15,Germany,203080
2025,Taranto,40.5084,17.23,Italy,202033
2027,Pskov,57.83,28.3299,Russia,201990
2038,Cartagena,37.6004,-0.98,Spain,201274
2050,Bergamo,45.7004,9.67,Italy,200000
2053,Bacău,46.5784,26.9196,Romania,199668
2056,Balakovo,52.03,47.8,Russia,199572
2057,Armavir,45.0004,41.13,Russia,199548
2059,Bila Tserkva,49.7743,30.1309,Ukraine,199163
2080,Reims,49.2504,4.03,France,196565
2082,Engels,51.5004,46.12,Russia,196011
2084,Burgas,42.5146,27.4746,Bulgaria,195966
2090,Severodvinsk,64.57,39.83,Russia,194292
2100,Oxford,51.7704,-1.25,United Kingdom,192796
2103,Klaipėda,55.7204,21.1199,Lithuania,192307
2108,Zlatoust,55.175,59.65,Russia,191366
2115,Norwich,52.6304,1.3,United Kingdom,190756
2117,Caen,49.1838,-0.35,France,190099
2122,Aberdeen,57.1704,-2.08,United Kingdom,189364
2123,Syzran,53.17,48.48,Russia,189338
2128,Cork,51.8986,-8.4958,Ireland,188907
2133,Angers,47.48,-0.53,France,188380
2138,Szeged,46.2504,20.15,Hungary,187765
2141,Petropavlovsk Kamchatskiy,53.062,158.623,Russia,187282
2148,Olsztyn,53.8,20.48,Poland,186670
2152,Pécs,46.0804,18.22,Hungary,186262
2154,Marbella,36.5166,-4.8833,Spain,186131
2163,Mainz,49.9825,8.2732,Germany,184997
2164,Ruse,43.8537,25.9733,Bulgaria,184270
2167,Kramatorsk,48.7194,37.5344,Ukraine,184105
2173,Mataró,41.54,2.45,Spain,183293
2181,Kamensk Uralskiy,56.4205,61.935,Russia,182500
2194,Castello,39.9704,-0.05,Spain,180610
2197,Reggio di Calabria,38.115,15.6414,Italy,180353
2211,Almería,36.8303,-2.43,Spain,179405
2230,Treviso,45.67,12.24,Italy,177309
2236,Nyíregyháza,47.9653,21.7187,Hungary,176880
2240,Yuzhno Sakhalinsk,46.965,142.74,Russia,176484
2245,Turku,60.4539,22.255,Finland,175945
2249,Modena,44.65,10.92,Italy,175502
2272,Stavanger,58.97,5.68,Norway,173132
2275,Ulm,48.4004,10.0,Germany,172955
2286,Kragujevac,44.02,20.92,Serbia,171197
2287,Pitești,44.8563,24.8758,Romania,171021
2288,Rijeka,45.33,14.45,Croatia,170992
2293,Burgos,42.3504,-3.68,Spain,170183
2297,Čačak,43.8897,20.3301,Serbia,170000
2298,Dijon,47.3304,5.03,France,169946
2300,Nîmes,43.8304,4.35,France,169547
2306,Arad,46.17,21.32,Romania,169065
2309,Baranavichy,53.1368,26.0134,Belarus,168772
2311,Würzburg,49.8004,9.95,Germany,168561
2320,Berezniki,59.42,56.76,Russia,167748
2321,Volgodonsk,47.51,42.1599,Russia,167731
2323,Miass,54.9954,60.0949,Russia,167500
2324,Oldenburg,53.13,8.22,Germany,167458
2325,Abakan,53.7037,91.445,Russia,167289
2328,Novocherkassk,47.42,40.08,Russia,166974
2334,Reykjavík,64.15,-21.95,Iceland,166212
2338,Parma,44.8104,10.32,Italy,166011
2341,Norilsk,69.34,88.225,Russia,165873
2348,Elbasan,41.1215,20.0838,Albania,165010
2357,Regensburg,49.0204,12.12,Germany,164359
2363,Patra,38.23,21.73,Greece,163360
2364,Ingolstadt,48.7704,11.45,Germany,163325
2372,Lecce,40.3604,18.15,Italy,162582
2374,Salamanca,40.9704,-5.67,Spain,162353
